category,title,description
Sanitation,Garbage not collected,Garbage pile near Sector 12 causing smell
Water,Water leakage,Water pipeline leaking near main road
Electricity,Street lights off,Street lights not working at night in Block A
Roads,Potholes on road,Major potholes causing accidents near market
Health,Hospital queue long,Emergency room waiting time too long
Police,Noise complaint,Loud music at night disturbing residents
Fire,Fire hazard in building,Exposed wires and flammable materials found
Education,School bus late,Bus delays affecting student attendance
Transport,Traffic jam,Signal timing causing peak hour congestion
Environment,Tree fallen,Tree blocking pathway after storm
